Prefetcher,Start,End,Vertices Requested,Vertices Evicted,Cache Hits, Cache Misses,Total Runtime,Total DB time,DB calls
CTE Lookahead (8),171677,164352,14091,0,13750,341,11835600202,10102458546,341
CTE Lookahead (9),171677,164352,14091,0,13825,266,27876454244,26090698735,266
CTE Lookahead (10),171677,164352,14091,0,13875,216,78805088043,76684710617,216
Lookahead (1),171677,164352,14091,0,10034,4057,16384394437,15271810353,8114
Lookahead (2),171677,164352,14091,0,12099,1992,12407100895,11285377421,5976
Lookahead (3),171677,164352,14091,0,12883,1208,10590938593,9488529090,4832
Lookahead (4),171677,164352,14091,0,13283,808,8683071875,7634516342,4040
Lookahead (5),171677,164352,14091,0,13503,588,8329812303,7090699575,3528
Lookahead (10),171677,164352,14091,0,13917,174,5707195069,4404479427,1914
Lookahead (20),171677,164352,14091,0,14037,54,4065500234,2768695529,1134
Lookahead (30),171677,164352,14091,0,14069,22,3118951126,1763219609,682
Lookahead (40),171677,164352,14091,0,14077,14,3418199697,1651998376,574
Lookahead (50),171677,164352,14091,0,14081,10,3934703465,1668805589,510
Lookahead (60),171677,164352,14091,0,14085,6,3533985074,1336192926,366
Lookahead (70),171677,164352,14091,0,14085,6,5047823167,1666988116,426
Lookahead (80),171677,164352,14091,0,14087,4,5404980314,1583433455,324
Lookahead (90),171677,164352,14091,0,14088,3,4613559655,1326076345,273
Lookahead (100),171677,164352,14091,0,14088,3,5773936270,1511341460,303
Null Prefetcher,171677,164352,14091,0,5109,8982,17524417129,16713231912,8982
Block (1),171677,164352,14091,0,5109,8982,577970660056,576401129574,8982
Block (10),171677,164352,14091,0,5110,8981,498291894461,496549895634,8981
Block (50),171677,164352,14091,0,5118,8973,497360334768,495583541925,8973
Block (100),171677,164352,14091,0,5160,8931,487463710588,485751390036,8931
Block (250),171677,164352,14091,0,5600,8491,466240208490,464617309395,8491
Block (500),171677,164352,14091,0,6768,7323,398348472167,396895825433,7323
Block (1000),171677,164352,14091,0,10431,3660,196303307751,195176692019,3660
Block (5000),171677,164352,14091,0,13770,321,19059284021,17214336845,321
Block (10000),171677,164352,14091,0,13990,101,13312849924,8823398088,101
Block (20000),171677,164352,14091,0,14059,32,15626156441,2873118818,32
